title,price,category
33k-Mile 2016 Ford Focus ST,"Sold for $21,000 on 7/8/24",convertibles
2013 Ford Focus ST Track Car,"Sold for $21,000 on 3/6/24",convertibles
Modified 2013 Ford Focus ST,"Sold for $20,800 on 2/10/24",convertibles
18k-Mile 2014 Octane Academy Ford Focus ST,"Sold for $21,350 on 4/2/23",convertibles
13k-Mile 2014 Octane Academy Ford Focus ST,"Sold for $17,000 on 6/20/22",convertibles
Modified 2017 Ford Focus ST,"Sold for $22,250 on 6/19/22",convertibles
Modified 2017 Ford Focus ST,"Sold for $30,000 on 2/17/22",convertibles
