title,price,category
1960 Alfa Romeo Giulietta Spider Veloce 750F 2.0L 5-Speed,"Sold for $76,000 on 8/15/22",convertibles
1961 Alfa Romeo Giulietta Spider Veloce,"Bid to $37,250 on 8/8/22",convertibles
1956 Alfa Romeo Giulietta Spider,"Sold for $30,250 on 7/31/22",convertibles
1959 Alfa Romeo Giulietta Spider,"Sold for $42,800 on 7/20/22",convertibles
1958 Alfa Romeo Giulietta Sprint Veloce 750E 5-Speed,"Sold for $76,250 on 7/11/22",convertibles
1960 Alfa Romeo Giulietta Sprint Project,"Sold for $11,000 on 7/5/22",convertibles
1962 Alfa Romeo Giulietta Spider 5-Speed Project,"Sold for $65,000 on 6/12/22",convertibles
1962 Alfa Romeo Giulietta Spider,"Bid to $44,250 on 6/7/22",convertibles
1959 Alfa Romeo Giulietta Sprint Project,"Sold for $9,300 on 6/5/22",convertibles
1600-Powered 1959 Alfa Romeo Giulietta Sprint 5-Speed,"Bid to $28,000 on 5/10/22",convertibles
1956 Alfa Romeo Giulietta Sprint,"Sold for $75,000 on 5/1/22",convertibles
1961 Alfa Romeo Giulietta Sprint Project,"Sold for $8,500 on 4/12/22",convertibles
1959 Alfa Romeo Giulietta Spider Veloce,"Sold for $145,000 on 4/5/22",convertibles
Front Bodywork for Alfa Romeo Giulietta SZ Coda Tronca,"Sold for $7,000 on 3/10/22",convertibles
1958 Alfa Romeo Giulietta Spider Veloce 750F Project,"Sold for $61,000 on 1/21/22",convertibles
1959 Alfa Romeo Giulietta Sprint Zagato,"Bid to $565,000 on 1/19/22",convertibles
1959 Alfa Romeo Giulietta Sprint Veloce 750E Project,"Sold for $16,700 on 1/9/22",convertibles
1959 Alfa Romeo Giulietta Spider 5-Speed,"Sold for $79,750 on 1/7/22",convertibles
1958 Alfa Romeo Giulietta Spider 750D Project,"Sold for $31,000 on 12/3/21",convertibles
1958 Alfa Romeo Giulietta Sprint 1.6L,"Bid to $45,000 on 11/30/21",convertibles
1958 Alfa Romeo Giulietta Spider 750D Project,"Sold for $16,000 on 11/26/21",convertibles
1958 Alfa Romeo Giulietta Spider 750D Abnormale Project,"Sold for $34,000 on 11/18/21",convertibles
1957 Alfa Romeo Giulietta Sprint,"Sold for $37,500 on 11/3/21",convertibles
1956 Alfa Romeo Giulietta 750D Engine,"Sold for $3,500 on 10/20/21",convertibles
1959 Alfa Romeo Giulietta Sprint 5-Speed,"Bid to $76,000 on 10/18/21",convertibles
1959 Alfa Romeo Giulietta Spider,"Sold for $46,000 on 10/12/21",convertibles
1956 Alfa Romeo Giulietta Sprint Veloce Lightweight,"Bid to $200,000 on 10/11/21",convertibles
1959 Alfa Romeo Giulietta Spider Project,"Sold for $34,500 on 9/28/21",convertibles
1960 Alfa Romeo Giulietta Spider Veloce 750F 2.0L 5-Speed,"Sold for $63,000 on 9/17/21",convertibles
1960 Alfa Romeo Giulietta Spider Race Car,"Bid to $20,000 on 8/24/21",convertibles
1956 Alfa Romeo Giulietta Sprint,"Bid to $63,250 on 8/11/21",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Bid to $95,500 on 7/21/21",convertibles
1962 Alfa Romeo Giulietta Spider Veloce,"Bid to $78,000 on 7/16/21",convertibles
1957 Alfa Romeo Giulietta 750D 1.3L Engine,"Sold for $7,450 on 7/6/21",convertibles
1956 Alfa Romeo Giulietta Spider,"Sold for $66,500 on 6/21/21",convertibles
1958 Alfa Romeo Giulietta Spider Veloce 750F 5-Speed,"Sold for $55,000 on 6/16/21",convertibles
1961 Alfa Romeo Giulietta Sprint 1.7L 5-Speed,"Sold for $57,777 on 6/14/21",convertibles
1961 Alfa Romeo Giulietta Spider Veloce,"Bid to $84,000 on 6/4/21",convertibles
1958 Alfa Romeo Giulietta Spider Veloce 750F,"Bid to $75,500 on 5/28/21",convertibles
1958 Alfa Romeo Giulietta Spider 750D,"Bid to $41,500 on 5/7/21",convertibles
1961 Alfa Romeo Giulietta TI,"Sold for $19,001 on 5/5/21",convertibles
