title,price,category
2013 BMW 128i M Sport Coupe,"Sold for $12,251 on 6/29/24",convertibles
2013 BMW 128i Coupe M Sport 6-Speed,"Sold for $16,750 on 5/22/24",convertibles
2013 BMW 128i Coupe M Sport 6-Speed,"Sold for $14,250 on 5/14/24",convertibles
2010 BMW 128i Coupe 6-Speed,"Sold for $11,000 on 4/20/24",convertibles
2013 BMW 128i M Sport Coupe,"Bid to $9,800 on 4/20/24",convertibles
2013 BMW 128i M Sport Coupe 6-Speed,"Sold for $21,853 on 3/26/24",convertibles
2013 BMW 128i Coupe M Sport,"Sold for $10,700 on 3/14/24",convertibles
2008 BMW 128i Sport Convertible,"Sold for $9,150 on 2/24/24",convertibles
2011 BMW 128i Coupe 6-Speed,"Sold for $8,000 on 2/21/24",convertibles
2011 BMW 128i Coupe 6-Speed,"Sold for $15,250 on 1/21/24",convertibles
2011 BMW 128i Coupe Sport 6-Speed,"Sold for $20,000 on 12/4/23",convertibles
2010 BMW 128i Coupe M Sport 6-Speed,"Sold for $17,000 on 11/15/23",convertibles
2011 BMW 128i Coupe 6-Speed,"Sold for $19,750 on 10/31/23",convertibles
35k-Mile 2013 BMW 128i M Sport Coupe 6-Speed,"Sold for $23,500 on 10/18/23",convertibles
2011 BMW 128i Convertible 6-Speed,"Sold for $13,250 on 8/26/23",convertibles
39k-Mile 2009 BMW 128i Convertible,"Sold for $15,650 on 6/21/23",convertibles
31k-Mile 2012 BMW 128i Coupe M Sport 6-Speed,"Bid to $14,400 on 6/14/23",convertibles
32k-Mile 2009 BMW 128i Convertible 6-Speed,"Sold for $12,000 on 6/4/23",convertibles
26k-Mile 2012 BMW 128i Convertible,"Sold for $21,000 on 5/15/23",convertibles
2011 BMW 128i Coupe 6-Speed,"Sold for $15,250 on 4/24/23",convertibles
2012 BMW 128i Coupe 6-Speed,"Sold for $15,750 on 3/10/23",convertibles
2008 BMW 128i 6-Speed Race Car,"Sold for $45,250 on 2/5/23",convertibles
Modified 2013 BMW 128i 6-Speed,"Sold for $12,501 on 11/21/22",convertibles
2013 BMW 128i Coupe,"Sold for $13,999 on 10/4/22",convertibles
19k-Mile 2013 BMW 128i Convertible,"Sold for $22,000 on 9/23/22",convertibles
28k-Mile 2013 BMW 128i 6-Speed,"Sold for $23,000 on 9/18/22",convertibles
2013 BMW 128i Coupe M Sport 6-Speed,"Sold for $16,555 on 9/3/22",convertibles
2013 BMW 128i M Sport Coupe 6-Speed,"Sold for $17,500 on 6/9/22",convertibles
2013 BMW 128i Coupe M-Sport 6-Speed,"Sold for $17,000 on 5/31/22",convertibles
26k-Mile 2013 BMW 128i M Sport Convertible 6-speed,"Sold for $28,250 on 4/20/22",convertibles
2011 BMW 128i 6-Speed,"Sold for $16,600 on 4/8/22",convertibles
2011 BMW 128i M-Sport Coupe 6-Speed,"Sold for $22,100 on 2/19/22",convertibles
One-Owner 2009 BMW 128i M Sport 6-Speed,"Sold for $19,000 on 11/21/21",convertibles
2011 BMW 128i M-Sport 6-Speed,"Sold for $14,801 on 6/9/21",convertibles
13k-Mile 2009 BMW 128i 6-Speed,"Sold for $21,250 on 5/17/21",convertibles
Modified 2010 BMW 128i 6-Speed,"Sold for $18,250 on 5/3/21",convertibles
2010 BMW 128i 6-Speed,"Sold for $14,750 on 4/14/21",convertibles
2012 BMW 128i 6-Speed,"Sold for $16,000 on 12/9/20",convertibles
