make,model,mileage,fuel-type,first-registration,price
volkswagen,scirocco,125000,b,04-2017,14980
volkswagen,scirocco,187000,d,11-2010,9500
volkswagen,scirocco,121033,b,01-2010,14700
volkswagen,scirocco,109363,b,05-1987,18999
volkswagen,scirocco,123500,b,03-2009,10750
volkswagen,scirocco,211900,b,09-2009,5000
volkswagen,scirocco,123932,d,01-2012,12990
volkswagen,scirocco,174400,b,04-2009,9000
volkswagen,scirocco,137704,b,08-2014,20000
volkswagen,scirocco,77000,b,07-2011,9900
volkswagen,scirocco,170000,b,02-2010,15500
volkswagen,scirocco,142200,b,12-2010,7990
volkswagen,scirocco,138800,b,06-1989,6900
volkswagen,scirocco,270000,b,11-2011,5650
volkswagen,scirocco,59300,b,10-2017,15990
volkswagen,scirocco,147700,b,02-2009,7900
volkswagen,scirocco,182700,b,03-1993,6900
volkswagen,scirocco,199160,b,09-2011,9490
volkswagen,scirocco,108000,b,05-2013,11000
volkswagen,scirocco,145000,b,04-2014,10000
volkswagen,scirocco,132000,b,09-2011,7950
volkswagen,scirocco,167000,b,04-2013,9900
volkswagen,scirocco,111000,b,05-2015,11000
volkswagen,scirocco,147000,b,01-2009,7900
volkswagen,scirocco,111326,b,08-2016,25990
volkswagen,scirocco,135000,b,08-1989,7000
volkswagen,scirocco,167264,b,09-2010,11900
volkswagen,scirocco,86889,b,04-2016,17600
volkswagen,scirocco,123415,b,11-2014,15600
volkswagen,scirocco,90000,b,04-2016,17190
volkswagen,scirocco,171000,b,07-2009,6999
volkswagen,scirocco,372442,b,05-1991,5999
volkswagen,scirocco,95500,b,08-2015,16800
volkswagen,scirocco,107000,b,06-1989,5700
volkswagen,scirocco,270000,d,06-2013,8690
volkswagen,scirocco,201500,b,12-2011,8700
volkswagen,scirocco,60917,b,07-2017,16900
volkswagen,scirocco,167300,b,04-1988,3990
volkswagen,scirocco,108000,d,12-2016,19200
volkswagen,scirocco,87000,b,05-2013,15999
volkswagen,scirocco,145213,b,05-2015,23000
volkswagen,scirocco,148837,b,11-2010,13999
volkswagen,scirocco,179500,d,11-2014,11500
volkswagen,scirocco,80000,b,09-2017,13900
volkswagen,scirocco,90000,b,08-2014,27500
volkswagen,scirocco,130000,b,05-2013,11000
volkswagen,scirocco,225100,d,11-2011,6695
volkswagen,scirocco,130000,b,08-2010,9500
volkswagen,scirocco,52000,b,05-2014,13877
volkswagen,scirocco,135000,b,06-2015,15980
volkswagen,scirocco,108138,b,03-2012,15950
volkswagen,scirocco,145421,b,05-2011,14900
volkswagen,scirocco,156900,b,06-2011,9950
volkswagen,scirocco,178400,b,03-2009,6300
volkswagen,scirocco,145600,b,05-2010,8099
volkswagen,scirocco,65000,b,04-2016,18990
volkswagen,scirocco,99989,b,12-2015,16900
volkswagen,scirocco,169000,b,01-2009,6900
volkswagen,scirocco,130000,b,11-2014,10490
volkswagen,scirocco,74000,b,05-2015,15999
volkswagen,scirocco,153352,b,01-1991,13990
volkswagen,scirocco,148000,b,02-2011,13490
volkswagen,scirocco,111350,d,11-2012,14780
volkswagen,scirocco,75000,b,01-2016,15850
volkswagen,scirocco,120500,b,03-2011,19880
volkswagen,scirocco,145900,b,12-2009,7249
volkswagen,scirocco,74855,b,04-2010,10491
volkswagen,scirocco,149000,d,04-2013,13000
volkswagen,scirocco,156000,b,08-2013,10500
volkswagen,scirocco,63211,b,12-2017,15990
volkswagen,scirocco,113511,b,02-2011,9399
volkswagen,scirocco,66000,b,07-2015,14798
volkswagen,scirocco,128000,b,04-2013,12650
volkswagen,scirocco,178000,b,10-2009,9490
volkswagen,scirocco,97600,b,03-2012,12990
volkswagen,scirocco,144000,b,11-2010,7999
volkswagen,scirocco,217300,b,04-2009,7450
volkswagen,scirocco,250000,b,06-2008,5151
volkswagen,scirocco,242129,b,04-2010,6999
volkswagen,scirocco,242000,b,07-2012,7999
volkswagen,scirocco,156000,b,08-2013,10500
volkswagen,scirocco,95600,b,07-2011,17000
volkswagen,scirocco,40323,b,08-1992,25990
volkswagen,scirocco,216000,b,09-2009,5500
volkswagen,scirocco,145000,b,11-2009,8899
volkswagen,scirocco,78537,b,07-2012,24890
volkswagen,scirocco,167152,b,07-2009,8800
