make,model,mileage,fuel-type,first-registration,price
alfa romeo,giulietta,97160,b,01-2015,18990
alfa romeo,giulietta,133000,b,11-2014,10749
alfa romeo,giulietta,134000,d,06-2015,9885
alfa romeo,giulietta,111000,d,09-2011,6999
alfa romeo,giulietta,69869,b,08-2012,11000
alfa romeo,giulietta,101000,d,11-2012,9700
alfa romeo,giulietta,123612,b,06-2012,6550
alfa romeo,giulietta,23289,b,09-2021,13999
alfa romeo,giulietta,24500,b,07-2014,12990
alfa romeo,giulietta,191281,d,07-2013,6990
alfa romeo,giulietta,21055,b,05-2021,18489
alfa romeo,giulietta,24883,b,06-2018,14950
alfa romeo,giulietta,105950,b,07-2016,10950
alfa romeo,giulietta,38160,b,03-2019,18990
alfa romeo,giulietta,113000,b,07-2013,8480
alfa romeo,giulietta,55000,b,05-2017,11990
alfa romeo,giulietta,90030,b,01-2016,16200
alfa romeo,giulietta,103000,d,04-2019,18500
alfa romeo,giulietta,75500,b,09-2013,9500
alfa romeo,giulietta,120000,b,05-2011,9000
alfa romeo,giulietta,39995,b,08-2021,17799
alfa romeo,giulietta,69000,b,05-2016,12999
alfa romeo,giulietta,60000,b,10-2015,12200
alfa romeo,giulietta,92646,b,10-2016,11990
alfa romeo,giulietta,30394,b,12-2019,20690
alfa romeo,giulietta,37395,b,08-2019,19900
alfa romeo,giulietta,149000,b,02-2011,7490
alfa romeo,giulietta,17111,b,02-2021,18489
alfa romeo,giulietta,115444,b,09-2010,8990
alfa romeo,giulietta,118000,b,06-2017,16950
alfa romeo,giulietta,130000,b,03-2011,7899
alfa romeo,giulietta,134000,d,09-2017,12995
alfa romeo,giulietta,62000,b,07-2017,12250
alfa romeo,giulietta,197000,b,06-2018,12850
alfa romeo,giulietta,134000,b,03-2013,11990
alfa romeo,giulietta,76000,b,05-2017,14990
alfa romeo,giulietta,102680,b,06-2018,15900
alfa romeo,giulietta,39998,b,06-2021,17999
alfa romeo,giulietta,55950,b,03-2019,22190
alfa romeo,giulietta,174000,b,07-2013,7480
alfa romeo,giulietta,44590,b,03-2019,19290
alfa romeo,giulietta,14224,b,07-2021,14996
alfa romeo,giulietta,150000,d,08-2016,11200
alfa romeo,giulietta,35609,b,06-2021,14290
alfa romeo,giulietta,55000,b,05-2017,11990
alfa romeo,giulietta,30000,b,07-2021,15490
alfa romeo,giulietta,80000,d,04-2015,13500
alfa romeo,giulietta,53000,b,05-2016,21800
alfa romeo,giulietta,84000,b,08-2011,14300
alfa romeo,giulietta,35310,b,10-2019,19390
alfa romeo,giulietta,109000,b,02-2013,10880
alfa romeo,giulietta,43500,b,06-2019,17200
alfa romeo,giulietta,144600,d,12-2011,8990
alfa romeo,giulietta,55078,b,04-2021,17399
alfa romeo,giulietta,110000,b,12-2014,19850
alfa romeo,giulietta,38140,b,02-2019,18990
alfa romeo,giulietta,76396,b,09-2017,13990
alfa romeo,giulietta,73440,b,06-2019,16888
alfa romeo,giulietta,44550,d,04-2019,17372
alfa romeo,giulietta,182000,d,06-2010,2700
alfa romeo,giulietta,65000,b,06-1962,62000
alfa romeo,giulietta,26920,b,12-2019,19950
alfa romeo,giulietta,109300,b,06-1961,49000
alfa romeo,giulietta,115471,b,03-2012,10490
alfa romeo,giulietta,165771,d,09-2015,12200
alfa romeo,giulietta,196000,b,04-2011,12200
alfa romeo,giulietta,155000,b,11-2011,3000
alfa romeo,giulietta,180000,b,06-2012,9300
alfa romeo,giulietta,10000,b,07-1963,34900
alfa romeo,giulietta,37838,b,03-2019,20390
alfa romeo,giulietta,89300,b,04-2016,16990
alfa romeo,giulietta,2044,b,06-1955,115000
alfa romeo,giulietta,63214,b,07-1957,59900
alfa romeo,giulietta,66365,b,05-1961,63900
alfa romeo,giulietta,281500,b,08-2016,4250
