make,model,mileage,fuel-type,first-registration,price
alfa romeo,giulia,49255,b,01-2019,26880
alfa romeo,giulia,12675,b,05-2023,47490
alfa romeo,giulia,65000,b,10-1978,15500
alfa romeo,giulia,115640,b,05-2017,29990
alfa romeo,giulia,150,b,08-2023,69990
alfa romeo,giulia,11350,b,02-2017,32990
alfa romeo,giulia,37800,d,05-2019,32500
alfa romeo,giulia,100019,d,05-2018,24750
alfa romeo,giulia,117000,d,12-2016,26990
alfa romeo,giulia,164000,b,09-2019,46900
alfa romeo,giulia,59462,b,03-2021,55885
alfa romeo,giulia,266,b,07-2022,183000
alfa romeo,giulia,6304,d,02-2023,42950
alfa romeo,giulia,49859,d,12-2022,34900
alfa romeo,giulia,24855,b,03-2021,32990
alfa romeo,giulia,41300,d,10-2022,37900
alfa romeo,giulia,25000,d,05-2020,32000
alfa romeo,giulia,33500,b,09-2022,72490
alfa romeo,giulia,17800,d,03-2023,37990
alfa romeo,giulia,78000,d,11-2016,21400
alfa romeo,giulia,45300,d,11-2018,28200
alfa romeo,giulia,6945,b,10-2021,220000
alfa romeo,giulia,13500,b,04-2021,63900
alfa romeo,giulia,57000,b,05-1974,15000
alfa romeo,giulia,55200,d,10-2022,38900
alfa romeo,giulia,37950,b,12-2019,59990
alfa romeo,giulia,4000,b,11-2023,55999
alfa romeo,giulia,3400,b,06-2023,71990
alfa romeo,giulia,7000,b,04-2022,64500
alfa romeo,giulia,41897,b,07-1978,15888
alfa romeo,giulia,99500,d,05-2019,29990
alfa romeo,giulia,10,b,10-2022,43990
alfa romeo,giulia,8405,b,01-2022,43990
alfa romeo,giulia,19490,b,11-2022,39490
alfa romeo,giulia,24990,d,10-2021,39985
alfa romeo,giulia,101500,d,12-2017,25488
alfa romeo,giulia,5,b,10-2022,47990
alfa romeo,giulia,83770,b,05-1975,12990
alfa romeo,giulia,11931,b,07-2022,43490
alfa romeo,giulia,44100,b,09-2019,57980
alfa romeo,giulia,37700,d,05-2019,32700
alfa romeo,giulia,127971,d,02-2017,21990
alfa romeo,giulia,58000,b,09-2019,29990
alfa romeo,giulia,35372,b,09-2022,44990
alfa romeo,giulia,63000,b,03-2019,36900
alfa romeo,giulia,2877,b,08-2022,69880
alfa romeo,giulia,3000,b,01-2024,56900
alfa romeo,giulia,24055,b,08-2022,33680
alfa romeo,giulia,11000,b,04-2023,46900
alfa romeo,giulia,3501,b,12-2023,70790
alfa romeo,giulia,49859,d,12-2022,34900
alfa romeo,giulia,690,b,07-2023,259000
alfa romeo,giulia,18,b,01-2024,220000
alfa romeo,giulia,7917,b,09-2023,46990
alfa romeo,giulia,55000,b,10-2020,38000
alfa romeo,giulia,20,b,09-2023,47590
alfa romeo,giulia,25000,b,01-2017,28999
alfa romeo,giulia,5,b,10-2022,47990
alfa romeo,giulia,36500,b,08-2022,69599
alfa romeo,giulia,26200,d,12-2020,32450
alfa romeo,giulia,1500,b,02-2023,39900
alfa romeo,giulia,2500,b,07-2021,230000
alfa romeo,giulia,21026,b,11-2022,37885
alfa romeo,giulia,1001,b,02-2024,78130
alfa romeo,giulia,1005,b,02-2023,54950
alfa romeo,giulia,1001,b,06-2023,72190
alfa romeo,giulia,66000,b,04-2019,57500
alfa romeo,giulia,18412,b,02-2023,79990
alfa romeo,giulia,5,b,04-2022,46990
alfa romeo,giulia,19900,d,04-2023,48990
alfa romeo,giulia,10,b,03-2023,74990
alfa romeo,giulia,75000,b,01-1974,35500
alfa romeo,giulia,51149,b,03-2021,31440
alfa romeo,giulia,17710,b,01-1963,89900
alfa romeo,giulia,10,b,07-2023,79899
alfa romeo,giulia,17533,b,08-2020,31490
alfa romeo,giulia,7000,b,03-2021,67900
alfa romeo,giulia,15000,b,12-2021,69500
alfa romeo,giulia,3000,b,10-2022,76690
alfa romeo,giulia,13900,b,03-2023,53900
alfa romeo,giulia,80200,d,04-2017,22990
alfa romeo,giulia,3000,b,11-2023,58490
alfa romeo,giulia,39578,d,06-2022,34979
alfa romeo,giulia,53240,d,12-2021,41250
alfa romeo,giulia,55850,b,07-2020,32000
alfa romeo,giulia,5900,b,04-2022,70990
alfa romeo,giulia,31900,b,04-2022,43990
alfa romeo,giulia,52195,b,07-1972,23980
alfa romeo,giulia,104000,b,10-1966,28500
alfa romeo,giulia,9233,b,10-2021,74900
alfa romeo,giulia,26000,b,10-2022,68500
alfa romeo,giulia,21376,d,09-2022,39985
alfa romeo,giulia,125000,b,03-1968,15888
alfa romeo,giulia,49100,b,02-2021,45000
alfa romeo,giulia,44000,d,10-2020,43690
alfa romeo,giulia,3000,b,03-2023,69990
alfa romeo,giulia,83600,b,07-1966,20980
alfa romeo,giulia,45000,d,12-2020,43990
alfa romeo,giulia,1001,b,12-2023,51490
alfa romeo,giulia,19500,b,09-2021,36990
alfa romeo,giulia,49619,b,06-1963,61000
alfa romeo,giulia,96000,b,01-1967,27000
alfa romeo,giulia,56300,b,01-1971,21000
alfa romeo,giulia,14000,d,06-2022,39900
alfa romeo,giulia,1500,b,07-1969,270000
alfa romeo,giulia,2990,b,06-2019,89000
alfa romeo,giulia,50,d,02-2022,46990
alfa romeo,giulia,98500,b,06-2017,48900
alfa romeo,giulia,19900,b,10-2023,53900
alfa romeo,giulia,10,d,09-2022,53900
alfa romeo,giulia,45000,d,10-2022,39900
alfa romeo,giulia,87286,b,04-1971,23999
alfa romeo,giulia,2009,b,07-1971,24900
alfa romeo,giulia,49033,b,03-1967,22500
alfa romeo,giulia,44469,b,08-1965,149999
alfa romeo,giulia,14000,b,04-2023,59900
alfa romeo,giulia,87000,d,05-2017,19999
